id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawled_at
2520864921,https://www.vivareal.com.br/imovel/casa-5-quartos-bigorrilho-bairros-curitiba-com-garagem-567m2-aluguel-RS6500-id-2520864921/,"Casa com 5 Quartos para Aluguel, 567m²","Largo Pedro Deconto, 175 - Bigorrilho, Curitiba - PR",567,5 Quartos,7 Banheiros,6 Vagas,Mobiliado|Ar-condicionado|Aceita animais|Closet|Lareira,R$ 6.500 /mês,,2021-06-18 10:38
2518713385,https://www.vivareal.com.br/imovel/galpao-deposito-armazem-boqueirao-bairros-curitiba-com-garagem-800m2-aluguel-RS6500-id-2518713385/,"Galpão/Depósito/Armazém para Aluguel, 800m²","Rua Canal Belém, 6420 - Boqueirão, Curitiba - PR",800,-- Quarto,3 Banheiros,40 Vagas,Ar-condicionado|Cozinha|Estacionamento|Acesso para deficientes|Entrada para caminhões,R$ 6.500 /mês,,2021-06-18 10:38
2521546535,https://www.vivareal.com.br/imovel/casa-3-quartos-sao-francisco-bairros-curitiba-com-garagem-220m2-aluguel-RS5000-id-2521546535/,"Casa com 3 Quartos para Aluguel, 220m²","Rua Emílio de Menezes, 307 - São Francisco, Curitiba - PR",220,3 Quartos,4 Banheiros,3 Vagas,Mobiliado|Churrasqueira|Condomínio fechado|Ar-condicionado|Estacionamento,R$ 5.000 /mês,,2021-06-18 10:38
2523113167,https://www.vivareal.com.br/imovel/galpao-deposito-armazem-uberaba-bairros-curitiba-2300m2-aluguel-RS18400-id-2523113167/,"Galpão/Depósito/Armazém para Aluguel, 2300m²","Avenida Senador Salgado Filho, 5914 - Uberaba, Curitiba - PR",2300,-- Quarto,8 Banheiros,-- Vaga,Ar-condicionado|Cozinha|Estacionamento|Portão eletrônico|Refeitório,R$ 18.400 /mês,,2021-06-18 10:38
2522760585,https://www.vivareal.com.br/imovel/consultorio-batel-bairros-curitiba-36m2-aluguel-RS2550-id-2522760585/,"Consultório para Aluguel, 36m²","Avenida Visconde de Guarapuava, 4628 - Batel, Curitiba - PR",36,-- Quarto,1 Banheiro,-- Vaga,Academia|Elevador|Estacionamento|Bicicletário|Portaria 24h,R$ 2.550 /mês,R$ 370,2021-06-18 10:38
2516139292,https://www.vivareal.com.br/imovel/consultorio-sao-francisco-bairros-curitiba-com-garagem-14m2-aluguel-RS1100-id-2516139292/,"Consultório para Aluguel, 14m²","Rua Domingos Nascimento, 172 - São Francisco, Curitiba - PR",14,-- Quarto,3 Banheiros,3 Vagas,Estacionamento|Portão eletrônico,R$ 1.100 /mês,,2021-06-18 10:38
2522127629,https://www.vivareal.com.br/imovel/sala-comercial-centro-bairros-curitiba-32m2-aluguel-RS900-id-2522127629/,"Sala/Conjunto para Aluguel, 32m²","Rua André de Barros, 226 - Centro, Curitiba - PR",32,-- Quarto,1 Banheiro,-- Vaga,None,R$ 900 /mês,,2021-06-18 10:38
2523764740,https://www.vivareal.com.br/imovel/sala-comercial-centro-bairros-curitiba-com-garagem-34m2-aluguel-RS1400-id-2523764740/,"Sala/Conjunto para Aluguel, 34m²","Rua XV de Novembro, 1155 - Centro, Curitiba - PR",34,-- Quarto,1 Banheiro,1 Vaga,None,R$ 1.400 /mês,,2021-06-18 10:38
2498365533,https://www.vivareal.com.br/imovel/sala-comercial-centro-bairros-curitiba-39m2-aluguel-RS1500-id-2498365533/,"Sala/Conjunto para Aluguel, 39m²","Rua Zeila Moura dos Santos, 101 - Centro, Curitiba - PR",39,-- Quarto,1 Banheiro,-- Vaga,None,R$ 1.500 /mês,,2021-06-18 10:38
2481525774,https://www.vivareal.com.br/imovel/flat-1-quartos-centro-bairros-curitiba-30m2-aluguel-RS1290-id-2481525774/,"Flat com Quarto para Aluguel, 30m²","Alameda Júlia da Costa, 340 - Centro, Curitiba - PR",30,1 Quarto,1 Banheiro,-- Vaga,None,R$ 1.290 /mês,R$ 660,2021-06-18 10:38
