,mape,r2,mape_train,r2_train
linear_regression,0.6993112913263688,0.5926982267303297,0.7132610385804845,0.5532879581869898
random_forest,0.5613065001922883,0.633075841551414,0.5752086042991267,0.6618983016844708
xgboost,0.47186448663073255,0.7343967411790377,0.43380105141612313,0.852785660409335
catboost,0.5678841269386647,0.7304532971460127,0.42705281333389744,0.8347329731216249
