id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawled_at
1.15,https://www.vivareal.com.br/imovel/predio-comercial-12-quartos-centro-bairros-curitiba-1250m2-aluguel-RS49500-id-2513099879/,"Prédio/Edifício inteiro com 12 Quartos para Aluguel, 1250m²","Rua Marechal Deodoro, 665 - Centro, Curitiba - PR",1250,12 Quartos,7 Banheiros,-- Vaga,,R$ 49.500 /mês,,2021-06-17 11:51
1.16,https://www.vivareal.com.br/imovel/apartamento-1-quartos-centro-bairros-curitiba-34m2-aluguel-RS1300-id-2518735856/,"Apartamento com Quarto para Aluguel, 34m²","Avenida Sete de Setembro, 3000 - Centro, Curitiba - PR",34,1 Quarto,1 Banheiro,-- Vaga,Mobiliado|Piscina|Churrasqueira|Academia|Elevador,R$ 1.300 /mês,R$ 300,2021-06-17 11:51
1.17,https://www.vivareal.com.br/imovel/sala-comercial-centro-bairros-curitiba-39m2-aluguel-RS1500-id-2498365533/,"Sala/Conjunto para Aluguel, 39m²","Rua Zeila Moura dos Santos, 101 - Centro, Curitiba - PR",39,-- Quarto,1 Banheiro,-- Vaga,,R$ 1.500 /mês,,2021-06-17 11:51
1.18,https://www.vivareal.com.br/imovel/apartamento-1-quartos-juveve-bairros-curitiba-27m2-aluguel-RS1800-id-2522749678/,"Apartamento com Quarto para Aluguel, 27m²","Rua Manoel Eufrásio, 1231 - Juvevê, Curitiba - PR",27,1 Quarto,1 Banheiro,-- Vaga,Mobiliado|Piscina|Churrasqueira|Academia|Elevador,R$ 1.800 /mês,R$ 310,2021-06-17 11:51
1.19,https://www.vivareal.com.br/imovel/apartamento-1-quartos-alto-da-rua-xv-bairros-curitiba-com-garagem-37m2-aluguel-RS1250-id-2502734890/,"Apartamento com Quarto para Aluguel, 37m²","Rua do Herval, 142 - Alto da Rua XV, Curitiba - PR",37,1 Quarto,1 Banheiro,1 Vaga,Mobiliado|Elevador|Portaria 24h,R$ 1.250 /mês,R$ 200,2021-06-17 11:51
1.20,https://www.vivareal.com.br/imovel/apartamento-1-quartos-bigorrilho-bairros-curitiba-com-garagem-25m2-aluguel-RS1550-id-2519469117/,"Apartamento com Quarto para Aluguel, 25m²","Alameda Júlia da Costa, 911 - Bigorrilho, Curitiba - PR",25,1 Quarto,1 Banheiro,1 Vaga,Mobiliado|Churrasqueira|Elevador|Ar-condicionado|Espaço gourmet,R$ 1.550 /mês,R$ 250,2021-06-17 11:51
1.21,https://www.vivareal.com.br/imovel/sala-comercial-centro-bairros-curitiba-32m2-aluguel-RS900-id-2522127629/,"Sala/Conjunto para Aluguel, 32m²","Rua André de Barros, 226 - Centro, Curitiba - PR",32,-- Quarto,1 Banheiro,-- Vaga,,R$ 900 /mês,,2021-06-17 11:51
1.22,https://www.vivareal.com.br/imovel/ponto-comercial-centro-bairros-curitiba-185m2-aluguel-RS9900-id-2518685319/,"Ponto comercial/Loja/Box para Aluguel, 185m²","Rua Voluntários da Pátria, 57 - Centro, Curitiba - PR",185,-- Quarto,2 Banheiros,-- Vaga,,R$ 9.900 /mês,,2021-06-17 11:51
1.23,https://www.vivareal.com.br/imovel/ponto-comercial-parolin-bairros-curitiba-com-garagem-750m2-aluguel-RS7000-id-2427670946/,"Ponto comercial/Loja/Box para Aluguel, 750m²","Rua Alferes Poli - Parolin, Curitiba - PR",750,-- Quarto,7 Banheiros,1 Vaga,Escritório|Sala grande|Acesso para deficientes|Ambientes integrados|Andar inteiro,R$ 7.000 /mês,,2021-06-17 11:51
1.24,https://www.vivareal.com.br/imovel/apartamento-1-quartos-reboucas-bairros-curitiba-17m2-aluguel-RS1250-id-2466664081/,"Apartamento com Quarto para Aluguel, 17m²","Rua Doutor Reynaldo Machado, 1340 - Rebouças, Curitiba - PR",17,1 Quarto,1 Banheiro,-- Vaga,Mobiliado|Academia|Elevador|Condomínio fechado|Bicicletário,R$ 1.250 /mês,,2021-06-17 11:51
