iter	Passed	Remaining
402	8651	12815
403	8664	12782
404	8678	12750
405	8692	12717
406	8706	12684
407	8719	12652
408	8736	12624
409	8754	12597
410	8773	12573
411	8794	12551
412	8817	12533
413	8831	12500
414	8845	12468
415	8857	12434
416	8870	12401
417	8883	12369
418	8896	12336
419	8909	12303
420	8943	12299
421	8956	12267
422	8970	12236
423	9008	12238
424	9021	12205
425	9045	12188
426	9093	12202
427	9127	12198
428	9146	12174
429	9175	12162
430	9192	12135
431	9211	12110
432	9224	12079
433	9248	12061
434	9267	12037
435	9287	12014
436	9309	11993
437	9362	12012
438	9378	11985
439	9390	11951
440	9422	11943
441	9468	11952
442	9485	11927
443	9502	11899
444	9542	11901
445	9582	11903
446	9611	11890
447	9631	11867
448	9650	11843
449	9677	11828
450	9690	11795
451	9706	11767
452	9737	11758
453	9750	11725
454	9764	11695
455	9777	11663
456	9799	11643
457	9812	11611
458	9825	11580
459	9837	11548
460	9849	11516
461	9861	11483
462	9872	11450
463	9886	11420
464	9898	11388
465	9910	11356
466	9922	11324
467	9935	11294
468	9952	11268
469	9965	11237
470	9979	11208
471	9991	11177
472	10004	11146
473	10022	11122
474	10038	11095
475	10059	11073
476	10094	11067
477	10115	11046
478	10134	11022
479	10151	10997
480	10170	10973
481	10189	10950
482	10207	10925
483	10224	10900
484	10250	10884
485	10263	10855
486	10277	10825
487	10292	10798
488	10307	10771
489	10325	10747
490	10344	10723
491	10384	10721
492	10404	10699
493	10432	10685
494	10453	10664
495	10476	10645
496	10497	10623
497	10525	10609
498	10562	10605
499	10600	10600
500	10634	10592
501	10662	10577
502	10676	10549
503	10692	10523
504	10710	10498
505	10726	10472
506	10741	10445
507	10756	10417
508	10776	10395
509	10809	10385
510	10822	10356
511	10835	10327
512	10848	10298
513	10860	10269
514	10873	10239
515	10885	10210
516	10898	10181
517	10911	10153
518	10923	10123
519	10934	10093
520	10947	10065
521	10963	10039
522	10982	10016
523	10999	9991
524	11014	9965
525	11034	9943
526	11051	9919
527	11071	9897
528	11089	9873
529	11106	9849
530	11121	9823
531	11133	9794
532	11145	9765
533	11158	9737
534	11169	9708
535	11182	9680
536	11195	9652
537	11207	9624
538	11219	9595
539	11231	9567
540	11245	9541
541	11276	9528
542	11290	9502
543	11317	9486
544	11338	9465
545	11351	9438
546	11364	9411
547	11378	9385
548	11390	9357
549	11450	9368
550	11463	9341
551	11477	9314
552	11491	9288
553	11506	9263
554	11519	9236
555	11531	9208
556	11543	9180
557	11555	9153
558	11569	9126
559	11587	9104
560	11604	9080
561	11642	9073
562	11656	9047
563	11670	9022
564	11687	8998
565	11706	8976
566	11730	8958
567	11747	8934
568	11764	8911
569	11780	8887
570	11807	8871
571	11823	8846
572	11839	8822
573	11856	8799
574	11875	8777
575	11895	8756
576	11919	8738
577	11935	8714
578	11954	8692
579	11999	8689
580	12016	8666
